Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Analog_mic_panel\Pick Place for OSP_jig_panel.csv

========================================================================================================================
File Design Information:

Date:       29-06-22
Time:       21:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","FFC","TopLayer","AMPHENOL_HFW6R-1STE1LF","-1949.961","35.355","180","Amphenol HFW6R-1STE1LF 6-pin flat flexible cable connector"
"J2","HDR_2","TopLayer","2-POS_HEADER","-1153.111","-483.149","0","2-pin 0.1" header"
"J1","HDR_2","TopLayer","2-POS_HEADER","-803.898","538.504","0","2-pin 0.1" header"
"R1","RC0603FR-0710KL","TopLayer","FP-RC0603-0_55-IPC_C","-1350.484","-468.583","180","RES 10K OHM 1% 1/10W 0603"
"P10","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-775.158","257.401","234","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P9","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-818.859","260.945","241","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P8","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-279.882","-239.449","128","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P7","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-502.717","-204.016","38","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P6","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-461.378","-225.669","39","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P5","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-287.363","25.906","193","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P4","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-262.166","-7.559","192","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P3","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-210.985","-72.913","192","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P2","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-236.182","-41.024","193","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"P1","SMITHS_S-00-U-1.3-G_TH","TopLayer","SMITHS_S-00-U-1.3-G_TH","-244.449","-117.008","129","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Through Hole Mount"
"J3","prog_connect","TopLayer","7-POS_HEADER","-1583.427","10.944","270","7-pos male pin header, 2.54mm pitch"
"H17","SCREW_4-40_1/4-SPACER","TopLayer","SCREW_4-40_1/4-SPACER","-480.670","338.898","0","Hole for 4-40 screw with 1/4" spacer"
"H12","SCREW_4-40_1/4-SPACER","TopLayer","SCREW_4-40_1/4-SPACER","-338.544","-423.307","0","Hole for 4-40 screw with 1/4" spacer"
"H5","SCREW_4-40_1/4-SPACER","TopLayer","SCREW_4-40_1/4-SPACER","-1066.890","-107.559","0","Hole for 4-40 screw with 1/4" spacer"
"H1","SCREW_4-40_1/4-SPACER","TopLayer","SCREW_4-40_1/4-SPACER","-1153.505","420.000","0","Hole for 4-40 screw with 1/4" spacer"
"H16","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1655.000","-234.449","90","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H15","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1341.220","248.622","90","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H11","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1613.661","-212.795","90","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H10","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1827.047","18.701","90","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H6","Spacer_hole_4-40","TopLayer","SPACER_HOLE_4-40","1635.315","329.724","0","Spacer hole w/o screw"
"H2","Spacer_hole_4-40","TopLayer","SPACER_HOLE_4-40","1048.701","-116.339","0","Spacer hole w/o screw"
"H18","Spacer_hole_4-40","TopLayer","SPACER_HOLE_4-40","1777.441","-431.693","0","Spacer hole w/o screw"
"H13","Spacer_hole_4-40","TopLayer","SPACER_HOLE_4-40","962.874","411.614","0","Spacer hole w/o screw"
"H14","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1871.929","-125.787","90","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H4","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1297.520","252.165","0","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H9","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1836.496","-248.228","0","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H8","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1879.409","-49.410","0","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H7","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1905.787","-83.661","0","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
"H3","SMITHS_S-00-U-1.3_hole","TopLayer","SMITHS_S-00-U-1.3_hole","1852.638","-15.945","0","Smiths Interconnect / IDI S-00-U-1.3-G Pogo Pin 0.99mm Centers 16.7mm Long 2.8mm Travel, Mid Mount"
