Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","VA1200AA","Bone Conductor Sensor Accelerometer","MK1","","Not managed","","1","","","","","","",""
"","TP_SMD_DJB","Digital Jellybean Style SMD Test Point","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10","","Not managed","","10","","","","","","",""
"","SML-P11MTT86","LED YELLOW/GREEN CLEAR 1006 SMD","D1","CMP-2000-07126-2","Released","Up to date","1","Rohm","SML-P11MTT86","Unknown","RSComponents","7003564","0.28689","2.87"
"","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","R11, R14","CMP-2100-03664-2","Released","Up to date","2","Yageo","RC0603FR-0710KL","Volume Production","Newark","68X3181","0.002","0.004"
"","RC0402FR-07470RL","","R8, R10","CMP-2002-07697-1","Released","Up to date","2","Yageo","RC0402FR-07470RL","Volume Production","","","",""
"","RC0402FR-0745R3L","","R9","CMP-2002-07109-1","Released","Up to date","1","Yageo","RC0402FR-0745R3L","Volume Production","Arrow Electronics","RC0402FR-0745R3L","0.0011","0.0011"
"","RC0402FR-071K4L","","R6","CMP-2002-07461-1","Released","Up to date","1","Yageo","RC0402FR-071K4L","Volume Production","Digi-Key","YAG3039CT-ND","0.1","0.1"
"","PIGTAIL","","J3","","Not managed","","1","","","","","","",""
"","NBA3N206SDG","1/1 Transceiver Half LVDS, Multipoint 8-SOIC","U6","","Not managed","","1","","","","","","",""
"","mic_speaker_connect","connector to integrated microphone and speaker","J1","","Not managed","","1","","","","","","",""
"","MIC5504-1.8YMT","Micrel MIC5504-1.8YMT 1.8V 300mA LDO","U2","","Not managed","","1","","","","","","",""
"","MIC5380/1-xxYFT","LDO 2fixed Outputs","U4","","Not managed","","1","Microchip","MIC5380-SSYFT-TR","Volume Production","Digi-Key","576-3453-6-ND","0.49","0.49"
"","MIC5367 LDO 1.2V","MIC5367 LDO 1.2V","U3","","Not managed","","1","Microchip","MIC5367-1.2YMT-TR","Volume Production","Digi-Key","576-3723-6-ND","0.41","0.41"
"","ICE5LP4K-SWG36ITR1K","Field Programmable Gate Array (FPGA) IC 25 65536 1280 36-VFBGA","U5","","Not managed","","1","","","","Digi-Key","","",""
"","GRM033R60J155ME14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 1.5uF, X5R, 15%, 20%, 6.3V","C28","CMP-06035-017352-1","New From Design","Up to date","1","Murata","GRM033R60J155ME14D","Volume Production","Arrow Electronics","GRM033R60J155ME14D","0.2626","0.2626"
"","FFC","Hirose FH58M-7S-0.25SHW(99) 7-pin Top+Bottom Contact FFC Connector","J2","","Not managed","","1","","","","","","",""
"","CL03A105KQ3CSNH","1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","C6, C12","","Not managed","","2","Samsung","CL03A105KQ3CSNH","Volume Production","Digi-Key","1276-6440-1-ND","0.16","0.32"
"","CL03A104KQ3NNNC","","C29","CMP-2010-00674-1","Released","Up to date","1","Samsung","CL03A104KQ3NNNC","Volume Production","Newark","82AC9159","0.002","0.002"
"","BMI160","BMI160 2.5 x 3 mm Tiaxial Accelerometer / Gyroscope Inertial Measurement Unit","U7","","Not managed","","1","","","","","","",""
"","10uF","CAP CER 10UF 6.3V X5R 0402","C1, C2, C5, C7, C11, C13, C14, C15, C16, C21","","Not managed","","10","TDK","C1005X5R0J106M050BC","Unknown","Digi-Key","445-8920-2-ND","",""
"","4.7k","RES SMD 4.7K OHM 1% 1/20W 0201","R12, R13","","Not managed","","2","Yageo","RC0201FR-074K7L","Volume Production","Digi-Key","311-4.70KMTR-ND","0.00456","45.6"
"","3k","RES SMD 3K OHM 1% 1/20W 0201","R5","","Not managed","","1","Yageo","RC0201FR-073KL","Volume Production","Digi-Key","YAG2656TR-ND","0.00456","45.6"
"","1uF","CAP CER 1UF 6.3V X5R 0201","C17, C18, C19, C20, C23, C24, C25, C26, C27","","Not managed","","9","Kyocera AVX","02016D105MAT2A/15K","Unknown","Digi-Key","478-7862-2-ND","0.00882","132.3"
"","1k","RES SMD 1K OHM 5% 1/20W 0201","R1, R2, R3, R4, R7","","Not managed","","5","Yageo","RC0201JR-071KL","Volume Production","Digi-Key","311-1KNTR-ND","",""
"","0.10uF","CAP CER 0.1UF 10V X5R 0201","C3, C4, C8, C9, C10, C22, C30, C31, C32, C33, C34, C35, C36, C37","","Not managed","","14","Samsung","CL03A104KP3NNNC","Volume Production","Digi-Key","1276-1115-2-ND","0.00559","55.9"
"","","General Purpose Audio Codec 4ADC / 2DAC Ch 40-Pin LFCSP","U1","","Not managed","","1","Analog Devices","ADAU1772BCPZ","Volume Production","Arrow Electronics","ADAU1772BCPZ","",""
