Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\OSP_DJB_Rigid\Project Outputs for OSP_DJB_Rigid\Pick Place for djb_v2_rigid_panel.csv

========================================================================================================================
File Design Information:

Date:       25-02-23
Time:       17:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C35","0.10uF","TopLayer","CAP_0201/0603","-5.8490","14.1313","26","CAP CER 0.1UF 10V X5R 0201"
"C36","0.10uF","TopLayer","CAP_0201/0603","-5.4240","13.2563","26","CAP CER 0.1UF 10V X5R 0201"
"C8","0.10uF","TopLayer","CAP_0201/0603","-4.9990","12.4063","206","CAP CER 0.1UF 10V X5R 0201"
"C9","0.10uF","TopLayer","CAP_0201/0603","-1.5990","11.5563","26","CAP CER 0.1UF 10V X5R 0201"
"C10","0.10uF","TopLayer","CAP_0201/0603","-1.8990","12.2063","26","CAP CER 0.1UF 10V X5R 0201"
"C16","10uF","TopLayer","CAP_0402/1005","0.7510","11.2563","26","CAP CER 10UF 6.3V X5R 0402"
"C15","10uF","TopLayer","CAP_0402/1005","0.3260","12.1563","26","CAP CER 10UF 6.3V X5R 0402"
"C14","10uF","TopLayer","CAP_0402/1005","-0.1240","13.0563","26","CAP CER 10UF 6.3V X5R 0402"
"C13","10uF","TopLayer","CAP_0402/1005","-0.6240","17.1813","14","CAP CER 10UF 6.3V X5R 0402"
"U7","BMI160","TopLayer","BMI160","-2.1302","14.4963","26","BMI160 2.5 x 3 mm Tiaxial Accelerometer / Gyroscope Inertial Measurement Unit"
"U1","","BottomLayer","ADAU1772BCPZ","-0.0240","13.5814","116","General Purpose Audio Codec 4ADC / 2DAC Ch 40-Pin LFCSP"
"U6","STR485","TopLayer","STR485LVQT","-7.1740","8.6813","206","3.3 V LVDS RS485 compatible with 1.8 V I/Os and selectable speed"
"J1","mic_speaker_connect","TopLayer","mic_connect","13.0760","15.3313","90","connector to integrated microphone and speaker"
"R14","RC0603FR-0710KL","BottomLayer","FP-RC0603-0_55-IPC_C","-8.4990","12.5563","26","RES 10K OHM 1% 1/10W 0603"
"R6","RC0402FR-071K4L","TopLayer","RESC1005X40X25NL05T10","-8.1740","10.6063","206",""
"C29","CL03A104KQ3NNNC","TopLayer","CAPC0603X33X15ML03T05","9.8760","13.3813","0",""
"C28","GRM033R60J155ME14D","TopLayer","FP-GRM033-0_03-IPC_B","7.9760","14.3563","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 1.5uF, X5R, 15%, 20%, 6.3V"
"R7","1k","TopLayer","RES_0201/0603","9.9010","14.1813","0","RES SMD 1K OHM 5% 1/20W 0201"
"R4","1k","BottomLayer","RES_0201/0603","5.9760","17.6563","0","RES SMD 1K OHM 5% 1/20W 0201"
"R3","1k","BottomLayer","RES_0201/0603","5.4260","12.1313","297","RES SMD 1K OHM 5% 1/20W 0201"
"R2","1k","BottomLayer","RES_0201/0603","11.1760","15.7063","180","RES SMD 1K OHM 5% 1/20W 0201"
"R1","1k","BottomLayer","RES_0201/0603","11.1760","14.7313","180","RES SMD 1K OHM 5% 1/20W 0201"
"R5","3k","TopLayer","RES_0201/0603","-9.3490","13.0063","26","RES SMD 3K OHM 1% 1/20W 0201"
"R13","4.7k","TopLayer","RES_0201/0603","-10.1886","10.0087","26","RES SMD 4.7K OHM 1% 1/20W 0201"
"R12","4.7k","TopLayer","RES_0201/0603","-9.8386","9.3338","26","RES SMD 4.7K OHM 1% 1/20W 0201"
"C37","0.10uF","BottomLayer","CAP_0201/0603","-9.0776","8.4204","206","CAP CER 0.1UF 10V X5R 0201"
"C34","0.10uF","BottomLayer","CAP_0201/0603","-9.6240","4.8313","26","CAP CER 0.1UF 10V X5R 0201"
"C33","0.10uF","BottomLayer","CAP_0201/0603","-8.7740","7.8063","206","CAP CER 0.1UF 10V X5R 0201"
"C3","0.10uF","BottomLayer","CAP_0201/0603","6.0260","12.4563","117","CAP CER 0.1UF 10V X5R 0201"
"C4","0.10uF","BottomLayer","CAP_0201/0603","-2.1599","8.7349","296","CAP CER 0.1UF 10V X5R 0201"
"C32","0.10uF","BottomLayer","CAP_0201/0603","-8.4740","7.2063","206","CAP CER 0.1UF 10V X5R 0201"
"C31","0.10uF","BottomLayer","CAP_0201/0603","-8.1740","6.6063","206","CAP CER 0.1UF 10V X5R 0201"
"C22","0.10uF","TopLayer","CAP_0201/0603","3.7010","16.8563","7","CAP CER 0.1UF 10V X5R 0201"
"C30","0.10uF","BottomLayer","CAP_0201/0603","-7.8740","6.0063","206","CAP CER 0.1UF 10V X5R 0201"
"C27","1uF","TopLayer","CAP_0201/0603","-8.1240","13.6063","26","CAP CER 1UF 6.3V X5R 0201"
"C26","1uF","TopLayer","CAP_0201/0603","-7.2990","12.4313","26","CAP CER 1UF 6.3V X5R 0201"
"C25","1uF","TopLayer","CAP_0201/0603","-7.5990","13.0313","26","CAP CER 1UF 6.3V X5R 0201"
"C24","1uF","TopLayer","CAP_0201/0603","-8.4240","11.3813","26","CAP CER 1UF 6.3V X5R 0201"
"C23","1uF","BottomLayer","CAP_0201/0603","-2.8240","8.4063","116","CAP CER 1UF 6.3V X5R 0201"
"C20","1uF","BottomLayer","CAP_0201/0603","-10.7740","7.6313","206","CAP CER 1UF 6.3V X5R 0201"
"C19","1uF","BottomLayer","CAP_0201/0603","-9.9276","5.4204","26","CAP CER 1UF 6.3V X5R 0201"
"C18","1uF","BottomLayer","CAP_0201/0603","7.3510","16.0313","270","CAP CER 1UF 6.3V X5R 0201"
"C17","1uF","BottomLayer","CAP_0201/0603","5.9510","16.9813","0","CAP CER 1UF 6.3V X5R 0201"
"C21","10uF","TopLayer","CAP_0402/1005","0.0510","15.4813","116","CAP CER 10UF 6.3V X5R 0402"
"C11","10uF","BottomLayer","CAP_0402/1005","9.3010","16.4313","180","CAP CER 10UF 6.3V X5R 0402"
"C7","10uF","TopLayer","CAP_0402/1005","-1.0490","10.3813","206","CAP CER 10UF 6.3V X5R 0402"
"C5","10uF","BottomLayer","CAP_0402/1005","9.3010","15.3563","180","CAP CER 10UF 6.3V X5R 0402"
"C2","10uF","BottomLayer","CAP_0402/1005","0.8760","9.2563","206","CAP CER 10UF 6.3V X5R 0402"
"C1","10uF","BottomLayer","CAP_0402/1005","2.9965","10.3242","26","CAP CER 10UF 6.3V X5R 0402"
"C6","CL03A105KQ3CSNH","BottomLayer","CL03A105KQ3CSNH","11.1510","13.9563","180","1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)"
"U3","MIC5367 LDO 1.2V","BottomLayer","MIC5367_LDO_1.2V","-10.3665","6.4829","26","MIC5367 LDO 1.2V"
"U5","ICE5LP4K-SWG36ITR1K","BottomLayer","36-XFBGA","-4.1476","10.1834","26","Field Programmable Gate Array (FPGA) IC 25 65536 1280 36-VFBGA"
"TP10","TP_SMD_DJB","TopLayer","TP_SMD_DJB","1.7128","17.7313","90","Digital Jellybean Style SMD Test Point"
"TP9","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-10.7370","5.1993","90","Digital Jellybean Style SMD Test Point"
"TP8","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-10.5240","11.8703","90","Digital Jellybean Style SMD Test Point"
"TP7","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-11.2240","10.9813","90","Digital Jellybean Style SMD Test Point"
"TP6","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-12.4990","9.3903","137","Digital Jellybean Style SMD Test Point"
"TP5","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-11.8740","10.1813","90","Digital Jellybean Style SMD Test Point"
"TP3","TP_SMD_DJB","TopLayer","TP_SMD_DJB","2.9010","17.8313","90","Digital Jellybean Style SMD Test Point"
"TP2","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-5.1940","6.3163","90","Digital Jellybean Style SMD Test Point"
"TP1","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-6.2940","5.8363","116","Digital Jellybean Style SMD Test Point"
"J3","PIGTAIL","TopLayer","PIGTAIL","-12.5149","6.3255","296",""
"TP4","TP_SMD_DJB","TopLayer","TP_SMD_DJB","-11.6490","8.3313","116","Digital Jellybean Style SMD Test Point"
"C12","CL03A105KQ3CSNH","BottomLayer","CL03A105KQ3CSNH","11.1760","16.4563","180","1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)"
"MK1","VA1200AA","TopLayer","VA1200AA","9.2810","16.6314","180","Bone Conductor Sensor Accelerometer"
"J2","FFC","TopLayer","HIROSE_FH58M-7S-0.25SHW-99","2.7794","14.5548","190","Hirose FH58M-7S-0.25SHW(99) 7-pin Top+Bottom Contact FFC Connector"
"U2","MIC5504-1.8YMT","BottomLayer","MICREL_DFN4","6.0010","16.0063","270","Micrel MIC5504-1.8YMT 1.8V 300mA LDO"
"U4","MIC5380/1-xxYFT","TopLayer","06L_FCSTSLP","-9.0740","12.0563","206","LDO 2fixed Outputs"
"R8","RC0402FR-07470RL","TopLayer","RESC1005X40X25ML05T10","-10.0990","7.8813","26",""
"R9","RC0402FR-0745R3L","TopLayer","RESC1005X40X25ML05T10","-11.2240","6.7576","116",""
