Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Analog_mic_breakout\Project Outputs for Analog_mic_breakout\Pick Place for Analog_mic_panel.csv

========================================================================================================================
File Design Information:

Date:       07-02-22
Time:       08:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-814.685","-1108.583","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-880.630","-1006.220","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-812.224","-996.378","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-839.134","-882.716","0",""
"J2","Pad","TopLayer","Pad","-814.685","-1054.449","270",""
"J1","Pad","TopLayer","Pad","-883.583","-1077.086","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-814.685","-124.331","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-880.630","-21.968","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-812.224","-12.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-839.134","101.535","0",""
"J2","Pad","TopLayer","Pad","-814.685","-70.197","270",""
"J1","Pad","TopLayer","Pad","-883.583","-92.835","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-814.685","859.921","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-880.630","962.284","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-812.224","972.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-839.134","1085.787","0",""
"J2","Pad","TopLayer","Pad","-814.685","914.055","270",""
"J1","Pad","TopLayer","Pad","-883.583","891.418","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-259.370","-1108.583","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-325.315","-1006.220","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-256.909","-996.378","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-283.819","-882.716","0",""
"J2","Pad","TopLayer","Pad","-259.370","-1054.449","270",""
"J1","Pad","TopLayer","Pad","-328.268","-1077.086","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-259.370","-124.331","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-325.315","-21.968","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-256.909","-12.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-283.819","101.535","0",""
"J2","Pad","TopLayer","Pad","-259.370","-70.197","270",""
"J1","Pad","TopLayer","Pad","-328.268","-92.835","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","-259.370","859.921","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-325.315","962.284","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","-256.909","972.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","-283.819","1085.787","0",""
"J2","Pad","TopLayer","Pad","-259.370","914.055","270",""
"J1","Pad","TopLayer","Pad","-328.268","891.418","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","295.945","-1108.583","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","230.000","-1006.220","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","298.406","-996.378","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","271.496","-882.716","0",""
"J2","Pad","TopLayer","Pad","295.945","-1054.449","270",""
"J1","Pad","TopLayer","Pad","227.047","-1077.086","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","295.945","-124.331","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","230.000","-21.968","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","298.406","-12.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","271.496","101.535","0",""
"J2","Pad","TopLayer","Pad","295.945","-70.197","270",""
"J1","Pad","TopLayer","Pad","227.047","-92.835","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","295.945","859.921","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","230.000","962.284","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","298.406","972.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","271.496","1085.787","0",""
"J2","Pad","TopLayer","Pad","295.945","914.055","270",""
"J1","Pad","TopLayer","Pad","227.047","891.418","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","851.260","-1108.583","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","785.315","-1006.220","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","853.721","-996.378","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","826.811","-882.716","0",""
"J2","Pad","TopLayer","Pad","851.260","-1054.449","270",""
"J1","Pad","TopLayer","Pad","782.362","-1077.086","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","851.260","-124.331","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","785.315","-21.968","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","853.721","-12.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","826.811","101.535","0",""
"J2","Pad","TopLayer","Pad","851.260","-70.197","270",""
"J1","Pad","TopLayer","Pad","782.362","-92.835","0",""
"R1","ERA-1AEB102C","TopLayer","0603_SMD_Resistor","851.260","859.921","0","0603 SMD 1K Res 0.1%"
"C2","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","785.315","962.284","90","CAP CER 10UF 10V X5R 0402"
"C1","CL05A106MP5NUNC","TopLayer","FP-CL05A106MP5NUNC-MFG","853.721","972.126","180","CAP CER 10UF 10V X5R 0402"
"MK1","AMM-3738-B-R","TopLayer","665-AMM-3738-B-R","826.811","1085.787","0",""
"J2","Pad","TopLayer","Pad","851.260","914.055","270",""
"J1","Pad","TopLayer","Pad","782.362","891.418","0",""
